irrad,tmin,tmax,vap,wind,rain,snowdepth
28000.0,26.9,26.9,1.1,2.8,2.4,-999
Irrad_value,Temp_value,TWSO_harvest_value
100.0,-8.5,0.0
100.0,-6.64,0.0
100.0,-4.77,0.0
100.0,-2.91,0.0
100.0,-1.05,0.0
100.0,0.82,0.0
100.0,2.68,0.0
100.0,4.54,0.0
100.0,6.41,0.0
100.0,8.27,0.0
100.0,10.13,0.0
100.0,11.99,0.0
100.0,13.86,0.0
100.0,15.72,0.0
100.0,17.58,0.0
100.0,19.45,0.0
100.0,21.31,0.0
100.0,23.17,0.0
100.0,25.04,0.0
100.0,26.9,0.0
1568.42,-8.5,0.0
1568.42,-6.64,0.0
1568.42,-4.77,0.0
1568.42,-2.91,0.0
1568.42,-1.05,0.0
1568.42,0.82,0.0
1568.42,2.68,20.37540256312611
1568.42,4.54,388.1399473498973
1568.42,6.41,911.974772260478
1568.42,8.27,783.5760337974605
1568.42,10.13,443.16035898481783
1568.42,11.99,245.50902308433913
1568.42,13.86,151.5873348219782
1568.42,15.72,94.99148207387383
1568.42,17.58,61.95674286664158
1568.42,19.45,40.68173948465575
1568.42,21.31,28.86771330426362
1568.42,23.17,17.63122890144553
1568.42,25.04,10.29734493981388
1568.42,26.9,5.498056520825226
3036.84,-8.5,0.0
3036.84,-6.64,0.0
3036.84,-4.77,0.0
3036.84,-2.91,0.0
3036.84,-1.05,0.0
3036.84,0.82,0.0
3036.84,2.68,51.831471012436225
3036.84,4.54,835.8701559491508
3036.84,6.41,2594.09602302016
3036.84,8.27,3502.1583249881783
3036.84,10.13,2700.8174640978746
3036.84,11.99,1813.6852563644932
3036.84,13.86,1227.4733039879025
3036.84,15.72,821.6593276443758
3036.84,17.58,560.9621034625552
3036.84,19.45,388.9361383508813
3036.84,21.31,293.48128875068244
3036.84,23.17,216.59698522126146
3036.84,25.04,159.72428930793075
3036.84,26.9,119.89054467297905
4505.26,-8.5,0.0
4505.26,-6.64,0.0
4505.26,-4.77,0.0
4505.26,-2.91,0.0
4505.26,-1.05,0.0
4505.26,0.82,0.0
4505.26,2.68,68.07465625554833
4505.26,4.54,1100.992149420284
4505.26,6.41,3532.1630779455004
4505.26,8.27,5329.246372565288
4505.26,10.13,4779.728302225241
4505.26,11.99,3844.176999971507
4505.26,13.86,3022.9524542175855
4505.26,15.72,2279.9660810549117
4505.26,17.58,1695.7642079523089
4505.26,19.45,1250.7001367262371
4505.26,21.31,979.0043142298808
4505.26,23.17,767.5453221524509
4505.26,25.04,601.6813622260537
4505.26,26.9,482.7605833298233
5973.68,-8.5,0.0
5973.68,-6.64,0.0
5973.68,-4.77,0.0
5973.68,-2.91,0.0
5973.68,-1.05,0.0
5973.68,0.82,0.0
5973.68,2.68,76.53184094088616
5973.68,4.54,1288.1953548733557
5973.68,6.41,4241.892575377955
5973.68,8.27,6617.773852782735
5973.68,10.13,6209.918453220391
5973.68,11.99,5362.575555363226
5973.68,13.86,4578.674907128577
5973.68,15.72,3776.057654938417
5973.68,17.58,3057.7912370208064
5973.68,19.45,2427.367780358216
5973.68,21.31,1995.9871195937833
5973.68,23.17,1636.456297310812
5973.68,25.04,1340.2838109032468
5973.68,26.9,1115.1891112946055
7442.11,-8.5,0.0
7442.11,-6.64,0.0
7442.11,-4.77,0.0
7442.11,-2.91,0.0
7442.11,-1.05,0.0
7442.11,0.82,0.0
7442.11,2.68,81.06236275519284
7442.11,4.54,1414.830347378253
7442.11,6.41,4766.079426758931
7442.11,8.27,7623.3731217046125
7442.11,10.13,7383.397376028549
7442.11,11.99,6519.151181710869
7442.11,13.86,5767.77237026983
7442.11,15.72,4986.820215748197
7442.11,17.58,4260.316742949432
7442.11,19.45,3576.74166912833
7442.11,21.31,3072.9862393912863
7442.11,23.17,2608.8636953767827
7442.11,25.04,2212.4691335896737
7442.11,26.9,1890.0577106007877
8910.53,-8.5,0.0
8910.53,-6.64,0.0
8910.53,-4.77,0.0
8910.53,-2.91,0.0
8910.53,-1.05,0.0
8910.53,0.82,0.0
8910.53,2.68,82.84459874020496
8910.53,4.54,1493.5120931921808
8910.53,6.41,5140.213990034334
8910.53,8.27,8394.757941065105
8910.53,10.13,8385.53051348638
8910.53,11.99,7506.689654576727
8910.53,13.86,6727.349352160025
8910.53,15.72,5951.436511854294
8910.53,17.58,5240.499019577964
8910.53,19.45,4554.335258237129
8910.53,21.31,4034.646488852438
8910.53,23.17,3510.5357515972273
8910.53,25.04,3053.7892655165524
8910.53,26.9,2659.9036301230058
10378.95,-8.5,0.0
10378.95,-6.64,0.0
10378.95,-4.77,0.0
10378.95,-2.91,0.0
10378.95,-1.05,0.0
10378.95,0.82,0.0
10378.95,2.68,82.46612472015454
10378.95,4.54,1532.639190564803
10378.95,6.41,5378.378365817378
10378.95,8.27,8968.817346115198
10378.95,10.13,9230.916859358253
10378.95,11.99,8372.844674071908
10378.95,13.86,7563.02487723095
10378.95,15.72,6759.546457146261
10378.95,17.58,6048.28255728253
10378.95,19.45,5371.531489338985
10378.95,21.31,4853.20003806693
10378.95,23.17,4293.83142120097
10378.95,25.04,3801.9444785865303
10378.95,26.9,3358.4150938936396
11847.37,-8.5,0.0
11847.37,-6.64,0.0
11847.37,-4.77,0.0
11847.37,-2.91,0.0
11847.37,-1.05,0.0
11847.37,0.82,0.0
11847.37,2.68,80.44882250840298
11847.37,4.54,1540.119516207413
11847.37,6.41,5501.669466343527
11847.37,8.27,9368.15153989449
11847.37,10.13,9927.360813006693
11847.37,11.99,9128.538176893806
11847.37,13.86,8301.030379926202
11847.37,15.72,7468.065779756289
11847.37,17.58,6734.444968347417
11847.37,19.45,6055.540451289975
11847.37,21.31,5543.425868579898
11847.37,23.17,4959.387190281021
11847.37,25.04,4443.990156229884
11847.37,26.9,3964.4858134842184
13315.79,-8.5,0.0
13315.79,-6.64,0.0
13315.79,-4.77,0.0
13315.79,-2.91,0.0
13315.79,-1.05,0.0
13315.79,0.82,0.0
13315.79,2.68,79.54789332879245
13315.79,4.54,1548.773597205809
13315.79,6.41,5584.887219867599
13315.79,8.27,9652.699705409186
13315.79,10.13,10493.096395576835
13315.79,11.99,9772.628019946827
13315.79,13.86,8950.448985820321
13315.79,15.72,8095.072598106831
13315.79,17.58,7335.0353096534045
13315.79,19.45,6636.125201040109
13315.79,21.31,6117.094410371216
13315.79,23.17,5515.291977750849
13315.79,25.04,4980.115451298269
13315.79,26.9,4470.558971032339
14784.21,-8.5,0.0
14784.21,-6.64,0.0
14784.21,-4.77,0.0
14784.21,-2.91,0.0
14784.21,-1.05,0.0
14784.21,0.82,0.0
14784.21,2.68,79.94041203032774
14784.21,4.54,1563.8823683534042
14784.21,6.41,5652.045637163807
14784.21,8.27,9860.92198603154
14784.21,10.13,10928.225357609375
14784.21,11.99,10300.587586559925
14784.21,13.86,9496.97427556042
14784.21,15.72,8632.673009148739
14784.21,17.58,7850.522704916109
14784.21,19.45,7128.401725861965
14784.21,21.31,6592.355840718508
14784.21,23.17,5972.0092771620075
14784.21,25.04,5419.732218119208
14784.21,26.9,4884.910705215332
16252.63,-8.5,0.0
16252.63,-6.64,0.0
16252.63,-4.77,0.0
16252.63,-2.91,0.0
16252.63,-1.05,0.0
16252.63,0.82,0.0
16252.63,2.68,81.32744575793524
16252.63,4.54,1584.9426736712903
16252.63,6.41,5714.3890844684865
16252.63,8.27,10019.613638404098
16252.63,10.13,11242.493756128868
16252.63,11.99,10721.488875921355
16252.63,13.86,9940.32399112555
16252.63,15.72,9073.565988365603
16252.63,17.58,8276.954134607973
16252.63,19.45,7537.46278530307
16252.63,21.31,6986.10957596678
16252.63,23.17,6350.090929462461
16252.63,25.04,5782.051044958094
16252.63,26.9,5225.386261932517
17721.05,-8.5,0.0
17721.05,-6.64,0.0
17721.05,-4.77,0.0
17721.05,-2.91,0.0
17721.05,-1.05,0.0
17721.05,0.82,0.0
17721.05,2.68,83.39891681694439
17721.05,4.54,1610.1717805290884
17721.05,6.41,5777.5611393093495
17721.05,8.27,10147.123551020826
17721.05,10.13,11452.865185930397
17721.05,11.99,11055.157450351708
17721.05,13.86,10302.97490257143
17721.05,15.72,9439.716034107123
17721.05,17.58,8633.445524831817
17721.05,19.45,7879.726079846951
17721.05,21.31,7313.848914279197
17721.05,23.17,6664.350493240499
17721.05,25.04,6082.469632197973
17721.05,26.9,5505.011880985971
19189.47,-8.5,0.0
19189.47,-6.64,0.0
19189.47,-4.77,0.0
19189.47,-2.91,0.0
19189.47,-1.05,0.0
19189.47,0.82,0.0
19189.47,2.68,85.92740194513503
19189.47,4.54,1638.4242906880718
19189.47,6.41,5848.002521154976
19189.47,8.27,10261.197403510829
19189.47,10.13,11584.318701655864
19189.47,11.99,11305.68694058528
19189.47,13.86,10589.724622275055
19189.47,15.72,9735.490028015834
19189.47,17.58,8923.676499273713
19189.47,19.45,8158.785505723362
19189.47,21.31,7580.472546146908
19189.47,23.17,6920.172776035814
19189.47,25.04,6326.310890073903
19189.47,26.9,5730.946793652022
20657.89,-8.5,0.0
20657.89,-6.64,0.0
20657.89,-4.77,0.0
20657.89,-2.91,0.0
20657.89,-1.05,0.0
20657.89,0.82,0.0
20657.89,2.68,88.67823725369534
20657.89,4.54,1668.7750577291563
20657.89,6.41,5929.236019764039
20657.89,8.27,10371.755384699727
20657.89,10.13,11663.74576707728
20657.89,11.99,11477.528670592415
20657.89,13.86,10805.79066358602
20657.89,15.72,9964.628532012759
20657.89,17.58,9151.047064338982
20657.89,19.45,8378.097749824909
20657.89,21.31,7789.153975279333
20657.89,23.17,7120.589631012691
20657.89,25.04,6517.318539229716
20657.89,26.9,5907.009210426371
22126.32,-8.5,0.0
22126.32,-6.64,0.0
22126.32,-4.77,0.0
22126.32,-2.91,0.0
22126.32,-1.05,0.0
22126.32,0.82,0.0
22126.32,2.68,91.39478661777603
22126.32,4.54,1701.187122731852
22126.32,6.41,6024.703650734123
22126.32,8.27,10483.778750346073
22126.32,10.13,11711.70395546548
22126.32,11.99,11574.536055149
22126.32,13.86,10954.527648315863
22126.32,15.72,10130.609981122565
22126.32,17.58,9318.357622267256
22126.32,19.45,8539.911168040528
22126.32,21.31,7942.33407420435
22126.32,23.17,7267.777932346773
22126.32,25.04,6657.400970378396
22126.32,26.9,6035.18324915977
23594.74,-8.5,0.0
23594.74,-6.64,0.0
23594.74,-4.77,0.0
23594.74,-2.91,0.0
23594.74,-1.05,0.0
23594.74,0.82,0.0
23594.74,2.68,93.93403776999753
23594.74,4.54,1735.609279573842
23594.74,6.41,6134.678987635082
23594.74,8.27,10602.160369049974
23594.74,10.13,11744.430221170856
23594.74,11.99,11600.34681352829
23594.74,13.86,11038.764043142075
23594.74,15.72,10235.63918035015
23594.74,17.58,9427.376398806042
23594.74,19.45,8645.57949475286
23594.74,21.31,8041.190570042616
23594.74,23.17,7362.569129624716
23594.74,25.04,6747.198396317254
23594.74,26.9,6115.979060295062
25063.16,-8.5,0.0
25063.16,-6.64,0.0
25063.16,-4.77,0.0
25063.16,-2.91,0.0
25063.16,-1.05,0.0
25063.16,0.82,0.0
25063.16,2.68,96.30701627786036
25063.16,4.54,1771.9476192706895
25063.16,6.41,6257.700619992514
25063.16,8.27,10732.957808476509
25063.16,10.13,11778.344642166958
25063.16,11.99,11573.22314165563
25063.16,13.86,11059.870810760542
25063.16,15.72,10280.93062828236
25063.16,17.58,9478.90819894562
25063.16,19.45,8695.53978511522
25063.16,21.31,8085.772233132099
25063.16,23.17,7404.567931124795
25063.16,25.04,6785.937409307602
25063.16,26.9,6148.6298545701575
26531.58,-8.5,0.0
26531.58,-6.64,0.0
26531.58,-4.77,0.0
26531.58,-2.91,0.0
26531.58,-1.05,0.0
26531.58,0.82,0.0
26531.58,2.68,98.53588353756001
26531.58,4.54,1810.011040475013
26531.58,6.41,6391.49404631134
26531.58,8.27,10881.869770458017
26531.58,10.13,11828.046294515776
26531.58,11.99,11522.369540673086
26531.58,13.86,11016.732652625315
26531.58,15.72,10265.384325785102
26531.58,17.58,9471.466230307711
26531.58,19.45,8688.00947899773
26531.58,21.31,8074.360630134812
26531.58,23.17,7391.736716871487
26531.58,25.04,6771.496755569905
26531.58,26.9,6131.155971555133
28000.0,-8.5,0.0
28000.0,-6.64,0.0
28000.0,-4.77,0.0
28000.0,-2.91,0.0
28000.0,-1.05,0.0
28000.0,0.82,0.0
28000.0,2.68,100.63828511048287
28000.0,4.54,1849.6132570583402
28000.0,6.41,6533.346140071964
28000.0,8.27,11055.84850569181
28000.0,10.13,11901.032593257189
28000.0,11.99,11472.622353427892
28000.0,13.86,10913.477128459015
28000.0,15.72,10186.125105555897
28000.0,17.58,9403.828267324776
28000.0,19.45,8624.603459473608
28000.0,21.31,8011.8549671624605
28000.0,23.17,7331.17502952101
28000.0,25.04,6713.552199960784
28000.0,26.9,6073.078400019936
